connectionpool.py-208-2022-10-17 15:50:40,750-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-10-17 15:50:43,792-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-10-17 15:50:43,792-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-10-17 15:51:17,327-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-396-2022-10-17 15:51:17,468-DEBUG-http://127.0.0.1:39037 "POST /shell HTTP/1.1" 200 44327
connectionpool.py-396-2022-10-17 15:51:17,616-DEBUG-http://127.0.0.1:39037 "POST /jsonrpc/0 HTTP/1.1" 200 None
main.py-31-2022-10-17 15:51:17,641-DEBUG-test_WeatherTitle:Weather
connectionpool.py-208-2022-10-17 15:51:17,647-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-10-17 15:51:17,647-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-396-2022-10-17 15:51:17,850-DEBUG-http://127.0.0.1:39037 "POST /jsonrpc/0 HTTP/1.1" 200 None
connectionpool.py-396-2022-10-17 15:51:17,850-DEBUG-http://127.0.0.1:39037 "POST /jsonrpc/0 HTTP/1.1" 200 None
main.py-38-2022-10-17 15:51:17,872-DEBUG-current city name is : 普洱市江城哈尼族彝族自治县
main.py-38-2022-10-17 15:51:17,872-DEBUG-current city name is : 普洱市江城哈尼族彝族自治县
connectionpool.py-208-2022-10-17 15:51:17,878-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-10-17 15:51:17,878-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-208-2022-10-17 15:51:17,878-DEBUG-Starting new HTTP connection (1): 127.0.0.1
connectionpool.py-396-2022-10-17 15:51:17,983-DEBUG-http://127.0.0.1:39037 "POST /shell HTTP/1.1" 200 44327
connectionpool.py-396-2022-10-17 15:51:17,983-DEBUG-http://127.0.0.1:39037 "POST /shell HTTP/1.1" 200 44327
connectionpool.py-396-2022-10-17 15:51:17,983-DEBUG-http://127.0.0.1:39037 "POST /shell HTTP/1.1" 200 44327
main.py-20-2022-10-17 15:51:17,986-DEBUG-test_init_Current_APP_Activity:com.ticauto.weather.WeatherContainerActivity
main.py-20-2022-10-17 15:51:17,986-DEBUG-test_init_Current_APP_Activity:com.ticauto.weather.WeatherContainerActivity
main.py-20-2022-10-17 15:51:17,986-DEBUG-test_init_Current_APP_Activity:com.ticauto.weather.WeatherContainerActivity
connectionpool.py-208-2022-10-17 16:01:30,945-DEBUG-Starting new HTTP connection (1): 127.0.0.1
